frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
204,6.800000,0.237381,0.237381,0.759619,45,45,0.047622
205,6.833333,0.061825,0.061825,0.197841,45,45,0.047137
206,6.866667,-0.081551,0.081551,0.260963,45,45,0.031945
207,6.900000,-0.160901,0.160901,0.514883,45,45,0.095152
208,6.933333,-0.229607,0.229607,0.734744,45,45,0.066446
209,6.966667,-0.249009,0.249009,0.796830,45,45,0.052821
210,7.000000,-0.012003,0.012003,0.038408,45,45,0.020008
211,7.033333,0.044376,0.044376,0.142004,40,40,0.059967
212,7.066667,-0.036901,0.036901,0.118082,38,38,0.047565
213,7.100000,0.010253,0.010253,0.032810,37,37,0.027966
214,7.133333,-0.078870,0.078870,0.252382,47,47,0.087863
215,7.166667,-0.265563,0.265563,0.849803,46,46,0.079915
216,7.200000,-0.369137,0.369137,1.181238,46,46,0.129129
217,7.233333,-0.448985,0.448985,1.436751,46,46,0.409032
218,7.266667,-0.226455,0.226455,0.724655,46,46,0.114365
219,7.300000,-0.021453,0.021453,0.068649,45,45,0.044537
220,7.333333,0.075661,0.075661,0.242114,44,44,0.050534
221,7.366667,0.095721,0.095721,0.306306,44,44,0.078153
222,7.400000,-0.050821,0.050821,0.162628,44,44,0.043475
223,7.433333,-0.043182,0.043182,0.138184,44,44,0.057532
224,7.466667,-0.035194,0.035194,0.112621,42,42,0.035091
225,7.500000,-0.034847,0.034847,0.111511,42,42,0.031418
226,7.533333,0.091730,0.091730,0.293535,42,42,0.055932
227,7.566667,0.185298,0.185298,0.592955,42,42,0.090411
228,7.600000,0.241403,0.241403,0.772489,42,42,0.085502
229,7.633333,0.216221,0.216221,0.691908,42,42,0.095280
230,7.666667,0.395115,0.395115,1.264369,42,42,0.124495
231,7.700000,-0.079415,0.079415,0.254129,41,41,0.084606
232,7.733333,-0.130894,0.130894,0.418859,41,41,0.106835
233,7.766667,-0.205438,0.205438,0.657402,41,41,0.121224
234,7.800000,-0.082370,0.082370,0.263583,41,41,0.046882
235,7.833333,0.211880,0.211880,0.678014,41,41,0.088114
236,7.866667,0.465000,0.465000,1.487999,41,41,0.125421
237,7.900000,0.204986,0.204986,0.655954,41,41,0.079958
238,7.933333,0.028958,0.028958,0.092665,41,41,0.035901
239,7.966667,0.005708,0.005708,0.018267,41,41,0.057842
240,8.000000,-0.414261,0.414261,1.325634,41,41,0.162352
241,8.033333,-0.299099,0.299099,0.957116,50,50,0.078660
242,8.066667,-0.187241,0.187241,0.599173,50,50,0.082630
243,8.100000,-0.078537,0.078537,0.251318,48,48,0.068188
244,8.133333,0.009769,0.009769,0.031260,47,47,0.036621
245,8.166667,0.016170,0.016170,0.051743,47,47,0.031344
246,8.200000,-0.066511,0.066511,0.212837,47,47,0.114539
247,8.233333,-0.209536,0.209536,0.670515,46,46,0.096182
248,8.266667,-0.217396,0.217396,0.695667,46,46,0.080725
249,8.300000,-0.094683,0.094683,0.302987,46,46,0.043462
250,8.333333,0.014338,0.014338,0.045880,46,46,0.030660
251,8.366667,0.062179,0.062179,0.198974,46,46,0.051980
252,8.400000,0.110183,0.110183,0.352584,46,46,0.053152
253,8.433333,0.286408,0.286408,0.916506,46,46,0.054119
254,8.466667,-0.147516,0.147516,0.472050,46,46,0.105264
255,8.500000,-0.608898,0.608898,1.948473,46,46,0.146875
256,8.533333,-0.711901,0.711901,2.278082,46,46,0.208830
257,8.566667,-0.666322,0.666322,2.132229,44,44,0.201153
258,8.600000,-0.423446,0.423446,1.355026,42,42,0.121823
259,8.633333,-0.283698,0.283698,0.907833,42,42,0.119686
260,8.666667,-0.249066,0.249066,0.797010,42,42,0.110026
261,8.700000,-0.222706,0.222706,0.712659,41,41,0.147611
262,8.733333,-0.344274,0.344274,1.101678,41,41,0.150439
263,8.766667,-1.501362,1.501362,4.804358,41,41,3.182959
264,8.800000,-1.262026,1.262026,4.038483,35,35,0.283967
265,8.833333,-1.051171,1.051171,3.363747,27,27,0.419288
266,8.866667,-0.174738,0.174738,0.559161,49,47,0.127686
267,8.900000,-0.023309,0.023309,0.074590,47,47,0.129519
268,8.933333,-0.222890,0.222890,0.713248,46,46,0.122298
269,8.966667,-0.301274,0.301274,0.964076,44,44,0.130914
270,9.000000,-0.088858,0.088858,0.284347,43,43,0.104496
271,9.033333,0.173043,0.173043,0.553738,50,50,0.121273
272,9.066667,0.471594,0.471594,1.509101,49,49,0.247514
273,9.100000,0.065510,0.065510,0.209632,48,48,0.093757
274,9.133333,0.057814,0.057814,0.185005,48,48,0.119703
275,9.166667,0.061345,0.061345,0.196302,48,48,0.063839
276,9.200000,0.121178,0.121178,0.387770,47,47,0.046072
277,9.233333,0.170949,0.170949,0.547035,47,47,0.059716
278,9.266667,0.161399,0.161399,0.516476,47,47,0.066969
279,9.300000,0.193793,0.193793,0.620138,47,47,0.063629
280,9.333333,0.239240,0.239240,0.765569,47,47,0.089507
281,9.366667,0.345462,0.345462,1.105478,47,47,0.105814
282,9.400000,0.022095,0.022095,0.070702,47,47,0.040742
283,9.433333,0.024231,0.024231,0.077539,47,47,0.025730
284,9.466667,-0.020271,0.020271,0.064868,47,47,0.023146
285,9.500000,-0.053311,0.053311,0.170594,47,47,0.033147
286,9.533333,-0.011251,0.011251,0.036003,47,47,0.025071
287,9.566667,0.004150,0.004150,0.013281,47,47,0.013858
288,9.600000,-0.012125,0.012125,0.038799,47,47,0.020796
289,9.633333,-0.094702,0.094702,0.303047,47,47,0.059789
290,9.666667,-0.036016,0.036016,0.115250,46,46,0.049570
291,9.700000,-0.062671,0.062671,0.200548,46,46,0.076225
292,9.733333,-0.063881,0.063881,0.204419,46,46,0.084937
293,9.766667,-0.035117,0.035117,0.112375,46,46,0.981522
294,9.800000,-0.018975,0.018975,0.060721,45,45,0.024530
295,9.833333,-0.001435,0.001435,0.004591,45,45,0.025116
296,9.866667,0.044442,0.044442,0.142214,45,45,0.033767
297,9.900000,-0.007695,0.007695,0.024625,45,45,0.038885
298,9.933333,-0.010701,0.010701,0.034243,45,45,0.027779
299,9.966667,0.193947,0.193947,0.620632,45,45,0.040390
300,10.000000,0.049687,0.049687,0.158998,45,45,0.031075
301,10.033333,0.031931,0.031931,0.102179,50,50,0.036198
302,10.066667,0.072813,0.072813,0.233002,50,50,0.044688
303,10.100000,0.031284,0.031284,0.100110,50,50,0.030675
304,10.133333,0.014324,0.014324,0.045838,50,50,0.020998
305,10.166667,-0.012297,0.012297,0.039350,50,50,0.028307
306,10.200000,-0.029157,0.029157,0.093304,50,50,0.019924
307,10.233333,-0.007471,0.007471,0.023907,50,50,0.015287
308,10.266667,-0.020008,0.020008,0.064026,50,50,0.023447
309,10.300000,-0.014705,0.014705,0.047056,50,50,0.017312
310,10.333333,-0.019433,0.019433,0.062187,50,50,0.020603
311,10.366667,-0.000396,0.000396,0.001268,49,49,0.019676
312,10.400000,-0.009177,0.009177,0.029365,49,49,0.020312
313,10.433333,-0.011568,0.011568,0.037019,49,49,0.014045
314,10.466667,-0.009762,0.009762,0.031238,49,49,0.013632
315,10.500000,0.000089,0.000089,0.000285,49,49,0.014529
316,10.533333,0.004729,0.004729,0.015132,49,49,0.019529
317,10.566667,-0.003358,0.003358,0.010746,49,49,0.015976
318,10.600000,-0.009594,0.009594,0.030702,49,49,0.016290
319,10.633333,-0.016723,0.016723,0.053512,49,49,0.021648
320,10.666667,-0.027438,0.027438,0.087801,49,49,0.019184
321,10.700000,-0.009008,0.009008,0.028826,49,49,0.016285
322,10.733333,-0.006569,0.006569,0.021021,49,49,0.011998
323,10.766667,-0.001355,0.001355,0.004336,49,49,0.014770
324,10.800000,-0.024876,0.024876,0.079605,49,49,0.023745
325,10.833333,-0.009787,0.009787,0.031320,49,49,0.020371
326,10.866667,-0.021506,0.021506,0.068818,49,49,0.026040
327,10.900000,-0.018740,0.018740,0.059969,49,49,0.022246
328,10.933333,-0.026496,0.026496,0.084788,49,49,0.022233
329,10.966667,-0.012817,0.012817,0.041014,49,49,0.021681
330,11.000000,-0.014833,0.014833,0.047465,49,49,0.015904
331,11.033333,-0.014466,0.014466,0.046291,50,50,0.031457
332,11.066667,-0.014137,0.014137,0.045239,50,50,0.019792
333,11.100000,-0.009806,0.009806,0.031378,50,50,0.021526
334,11.133333,-0.005029,0.005029,0.016092,50,50,0.016397
335,11.166667,0.002744,0.002744,0.008780,50,50,0.018424
336,11.200000,-0.008389,0.008389,0.026845,50,50,0.014052
337,11.233333,-0.013248,0.013248,0.042392,50,50,0.014618
338,11.266667,-0.009827,0.009827,0.031448,50,50,0.015661
339,11.300000,-0.011095,0.011095,0.035505,50,50,0.013529
340,11.333333,-0.019088,0.019088,0.061083,50,50,0.017252
341,11.366667,0.000575,0.000575,0.001841,50,50,0.025194
342,11.400000,-0.004292,0.004292,0.013733,50,50,0.035105
343,11.433333,0.001803,0.001803,0.005769,50,50,0.011113
344,11.466667,-0.008515,0.008515,0.027249,50,50,0.040481
345,11.500000,-0.016225,0.016225,0.051921,50,50,0.017439
346,11.533333,0.004217,0.004217,0.013494,50,50,0.031575
347,11.566667,-0.006979,0.006979,0.022332,50,50,0.015915
348,11.600000,-0.005778,0.005778,0.018491,50,50,0.016555
