frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
236,7.866667,-0.054941,0.054941,0.175813,36,36,0.040153
237,7.900000,-0.023864,0.023864,0.076365,46,46,0.043623
238,7.933333,-0.024065,0.024065,0.077007,42,42,0.017184
239,7.966667,-0.015912,0.015912,0.050920,41,41,0.028588
240,8.000000,0.019226,0.019226,0.061524,39,39,0.059348
241,8.033333,-0.001348,0.001348,0.004313,47,46,0.018985
242,8.066667,-0.008366,0.008366,0.026772,40,39,0.023132
243,8.100000,-0.000227,0.000227,0.000726,36,35,0.011160
244,8.133333,-0.002109,0.002109,0.006747,35,34,0.014623
245,8.166667,-0.002186,0.002186,0.006995,50,50,0.012209
246,8.200000,-0.018468,0.018468,0.059097,46,46,0.017321
247,8.233333,-0.019556,0.019556,0.062581,43,43,0.015098
248,8.266667,-0.019256,0.019256,0.061619,41,41,0.024219
249,8.300000,-0.003295,0.003295,0.010544,40,40,0.024442
250,8.333333,-0.005962,0.005962,0.019077,38,38,0.026852
251,8.366667,-0.000082,0.000082,0.000263,35,35,0.014233
252,8.400000,-0.002917,0.002917,0.009334,49,49,0.011220
253,8.433333,-0.002092,0.002092,0.006694,44,44,0.010130
254,8.466667,-0.007005,0.007005,0.022416,44,44,0.021369
255,8.500000,-0.000278,0.000278,0.000890,43,43,0.010799
256,8.533333,-0.032427,0.032427,0.103766,43,43,0.020186
257,8.566667,-0.044630,0.044630,0.142815,40,40,0.020779
258,8.600000,-0.020315,0.020315,0.065008,38,38,0.022493
259,8.633333,-0.001849,0.001849,0.005916,38,38,0.009887
260,8.666667,-0.003614,0.003614,0.011566,49,48,0.024053
261,8.700000,-0.001062,0.001062,0.003399,45,44,0.009886
262,8.733333,-0.000964,0.000964,0.003085,45,44,0.018932
263,8.766667,0.000034,0.000034,0.000108,41,41,0.011287
264,8.800000,-0.008032,0.008032,0.025701,41,41,0.013103
265,8.833333,-0.002497,0.002497,0.007992,36,35,0.016432
266,8.866667,-0.020331,0.020331,0.065058,35,34,0.026161
267,8.900000,-0.020936,0.020936,0.066994,50,49,0.021412
268,8.933333,-0.015293,0.015293,0.048936,45,45,0.028267
269,8.966667,-0.001842,0.001842,0.005894,41,41,0.010970
270,9.000000,0.003226,0.003226,0.010322,39,39,0.013894
271,9.033333,0.000233,0.000233,0.000747,50,49,0.013351
272,9.066667,-0.001424,0.001424,0.004556,47,46,0.016202
273,9.100000,-0.000422,0.000422,0.001350,43,42,0.008137
274,9.133333,-0.000654,0.000654,0.002094,40,39,0.010394
275,9.166667,0.000335,0.000335,0.001072,40,39,0.006472
276,9.200000,-0.004273,0.004273,0.013674,40,39,0.014505
277,9.233333,-0.009046,0.009046,0.028947,38,37,0.013280
278,9.266667,-0.018914,0.018914,0.060526,38,37,0.032848
279,9.300000,-0.001932,0.001932,0.006184,50,50,0.009366
280,9.333333,-0.004076,0.004076,0.013044,48,48,0.031100
281,9.366667,0.000623,0.000623,0.001995,43,43,0.012373
282,9.400000,-0.001617,0.001617,0.005175,41,41,0.020946
283,9.433333,-0.000261,0.000261,0.000835,40,40,0.006059
284,9.466667,-0.005707,0.005707,0.018262,40,40,0.013387
285,9.500000,0.000015,0.000015,0.000047,36,36,0.009928
286,9.533333,-0.007284,0.007284,0.023308,36,36,0.014126
287,9.566667,-0.004507,0.004507,0.014422,47,46,0.012703
288,9.600000,-0.011406,0.011406,0.036501,47,46,0.015832
289,9.633333,-0.001668,0.001668,0.005336,43,43,0.015065
290,9.666667,-0.004047,0.004047,0.012951,43,43,0.014538
291,9.700000,-0.000260,0.000260,0.000832,41,41,0.009490
292,9.733333,-0.002078,0.002078,0.006651,41,41,0.014429
293,9.766667,-0.002253,0.002253,0.007211,41,41,0.012079
294,9.800000,-0.015229,0.015229,0.048733,40,40,0.013002
295,9.833333,-0.022414,0.022414,0.071725,39,39,0.058182
296,9.866667,-0.023326,0.023326,0.074644,38,38,0.030359
297,9.900000,-0.021342,0.021342,0.068293,50,50,0.070856
298,9.933333,-0.017648,0.017648,0.056474,45,45,0.095285
299,9.966667,-0.006334,0.006334,0.020269,43,43,0.009197
300,10.000000,-0.004189,0.004189,0.013405,42,42,0.026624
301,10.033333,0.000125,0.000125,0.000400,49,49,0.036365
302,10.066667,0.002255,0.002255,0.007215,49,49,0.023404
303,10.100000,0.001100,0.001100,0.003519,45,45,0.030903
304,10.133333,-0.000104,0.000104,0.000333,45,45,0.027955
305,10.166667,0.002016,0.002016,0.006453,44,44,0.009251
306,10.200000,0.001820,0.001820,0.005824,43,43,0.011676
307,10.233333,-0.002006,0.002006,0.006419,41,41,0.007479
