frame_idx,time_sec,omega_z_rad_per_s,abs_omega_z_rad_per_s,surface_speed_cm_per_s,n_features_tracked,n_features_used,omega_std_rad_per_s
126,4.200000,-0.135539,0.135539,0.433725,21,21,0.189591
127,4.233333,-0.040955,0.040955,0.131056,42,42,0.250320
128,4.266667,0.049623,0.049623,0.158793,34,34,0.150699
129,4.300000,-0.001276,0.001276,0.004084,33,33,0.081464
130,4.333333,-0.160507,0.160507,0.513623,43,43,0.093211
131,4.366667,-0.138960,0.138960,0.444673,38,38,0.141686
132,4.400000,-0.161642,0.161642,0.517254,36,36,0.089955
133,4.433333,-0.029465,0.029465,0.094287,48,48,0.050666
134,4.466667,-0.026009,0.026009,0.083229,39,39,0.039445
135,4.500000,-0.046653,0.046653,0.149291,38,38,0.046429
136,4.533333,-0.035651,0.035651,0.114085,45,45,0.059064
137,4.566667,-0.032126,0.032126,0.102802,42,42,0.046066
138,4.600000,-0.016626,0.016626,0.053202,36,36,0.029220
139,4.633333,-0.022053,0.022053,0.070570,34,34,0.030494
140,4.666667,-0.037111,0.037111,0.118757,46,46,0.048403
141,4.700000,-0.031899,0.031899,0.102077,43,43,0.035280
142,4.733333,-0.118763,0.118763,0.380041,41,41,0.092359
143,4.766667,-0.075069,0.075069,0.240220,39,39,0.070597
144,4.800000,-0.079956,0.079956,0.255860,39,39,0.073270
145,4.833333,-0.071077,0.071077,0.227446,47,47,0.096395
146,4.866667,-0.149193,0.149193,0.477417,41,41,0.106980
147,4.900000,-0.263037,0.263037,0.841719,38,38,0.089816
148,4.933333,-0.088823,0.088823,0.284234,36,36,0.083331
149,4.966667,-0.007095,0.007095,0.022702,49,49,0.016866
150,5.000000,-0.019674,0.019674,0.062958,46,46,0.028307
151,5.033333,-0.011179,0.011179,0.035772,47,47,0.028838
152,5.066667,-0.001688,0.001688,0.005402,46,46,0.015716
153,5.100000,0.003693,0.003693,0.011817,44,44,0.011181
154,5.133333,0.004974,0.004974,0.015918,42,42,0.013165
155,5.166667,0.000964,0.000964,0.003086,40,40,0.013117
156,5.200000,-0.015707,0.015707,0.050263,40,40,0.044378
157,5.233333,-0.035274,0.035274,0.112877,40,40,0.035267
158,5.266667,-0.070601,0.070601,0.225925,39,39,0.049584
159,5.300000,-0.129855,0.129855,0.415537,39,39,0.076946
160,5.333333,-0.110142,0.110142,0.352453,49,49,0.086156
161,5.366667,-0.051761,0.051761,0.165637,44,44,0.047116
162,5.400000,-0.030313,0.030313,0.097001,44,44,0.040243
163,5.433333,-0.013561,0.013561,0.043395,44,44,0.021167
164,5.466667,-0.020206,0.020206,0.064658,44,44,0.046347
165,5.500000,0.002555,0.002555,0.008176,41,41,0.011770
166,5.533333,0.017407,0.017407,0.055703,40,40,0.033729
167,5.566667,0.014531,0.014531,0.046500,40,40,0.024252
168,5.600000,0.009007,0.009007,0.028822,40,40,0.021537
169,5.633333,0.000294,0.000294,0.000942,40,40,0.008579
170,5.666667,-0.027912,0.027912,0.089317,40,40,0.053820
171,5.700000,-0.076079,0.076079,0.243454,40,40,0.052828
172,5.733333,-0.101892,0.101892,0.326053,39,39,0.075254
173,5.766667,-0.088670,0.088670,0.283744,39,39,0.093955
174,5.800000,-0.093864,0.093864,0.300364,48,48,0.074044
175,5.833333,-0.043037,0.043037,0.137719,43,43,0.083137
176,5.866667,-0.049531,0.049531,0.158499,40,40,0.051764
177,5.900000,-0.041690,0.041690,0.133409,39,39,0.046734
178,5.933333,-0.017144,0.017144,0.054860,37,37,0.042970
179,5.966667,-0.003243,0.003243,0.010377,49,49,0.015424
180,6.000000,-0.022462,0.022462,0.071878,47,47,0.023867
181,6.033333,-0.007991,0.007991,0.025570,49,49,0.020114
182,6.066667,-0.022215,0.022215,0.071090,48,48,0.028549
183,6.100000,-0.018285,0.018285,0.058512,42,42,0.016755
184,6.133333,-0.008164,0.008164,0.026126,42,42,0.016164
185,6.166667,0.002168,0.002168,0.006939,40,40,0.009622
186,6.200000,-0.003192,0.003192,0.010215,40,40,0.030297
187,6.233333,-0.004528,0.004528,0.014491,40,40,0.008121
188,6.266667,-0.005417,0.005417,0.017335,40,40,0.008269
189,6.300000,-0.004875,0.004875,0.015600,40,40,0.010361
190,6.333333,-0.002611,0.002611,0.008356,38,38,0.010464
191,6.366667,0.000954,0.000954,0.003052,38,38,0.007357
192,6.400000,-0.003217,0.003217,0.010295,50,50,0.011666
193,6.433333,-0.000810,0.000810,0.002591,49,49,0.008641
194,6.466667,-0.011118,0.011118,0.035577,48,48,0.018944
195,6.500000,-0.004341,0.004341,0.013892,48,48,0.013889
196,6.533333,-0.010830,0.010830,0.034655,48,48,0.013081
197,6.566667,-0.000652,0.000652,0.002085,48,48,0.013397
198,6.600000,-0.011635,0.011635,0.037231,48,48,0.014473
199,6.633333,-0.000920,0.000920,0.002943,47,47,0.013185
200,6.666667,-0.001910,0.001910,0.006113,45,45,0.018329
201,6.700000,-0.004553,0.004553,0.014569,44,44,0.009757
202,6.733333,-0.008483,0.008483,0.027146,43,43,0.017162
203,6.766667,-0.003110,0.003110,0.009953,43,43,0.013926
204,6.800000,-0.020621,0.020621,0.065988,41,41,0.016901
205,6.833333,-0.020670,0.020670,0.066143,41,41,0.016458
206,6.866667,-0.023518,0.023518,0.075257,40,40,0.027988
207,6.900000,-0.004888,0.004888,0.015641,40,40,0.015010
208,6.933333,-0.001180,0.001180,0.003777,40,40,0.010129
209,6.966667,0.000009,0.000009,0.000027,40,40,0.009264
210,7.000000,-0.001642,0.001642,0.005255,39,39,0.007748
211,7.033333,0.000030,0.000030,0.000094,49,49,0.012603
212,7.066667,0.002522,0.002522,0.008069,45,45,0.013325
213,7.100000,0.000384,0.000384,0.001229,44,44,0.004806
214,7.133333,-0.002876,0.002876,0.009203,43,43,0.012101
215,7.166667,-0.003327,0.003327,0.010647,42,42,0.010112
216,7.200000,-0.012460,0.012460,0.039871,42,42,0.015949
217,7.233333,-0.015125,0.015125,0.048401,41,41,0.014500
218,7.266667,-0.009374,0.009374,0.029998,39,39,0.015336
219,7.300000,0.000865,0.000865,0.002769,39,39,0.008096
220,7.333333,-0.003627,0.003627,0.011607,50,50,0.014109
221,7.366667,-0.000602,0.000602,0.001927,47,47,0.007389
222,7.400000,0.000782,0.000782,0.002504,47,47,0.022799
223,7.433333,0.000342,0.000342,0.001096,45,45,0.007607
224,7.466667,-0.007364,0.007364,0.023565,44,44,0.011248
225,7.500000,-0.005881,0.005881,0.018818,43,43,0.010185
226,7.533333,-0.021413,0.021413,0.068522,42,42,0.020241
227,7.566667,-0.012828,0.012828,0.041049,42,42,0.018169
228,7.600000,-0.013321,0.013321,0.042629,42,42,0.015553
229,7.633333,-0.000630,0.000630,0.002017,40,40,0.010041
230,7.666667,0.002708,0.002708,0.008665,40,40,0.012719
231,7.700000,-0.000221,0.000221,0.000708,40,40,0.012159
232,7.733333,-0.007653,0.007653,0.024489,39,39,0.010893
233,7.766667,-0.009723,0.009723,0.031114,39,39,0.012217
234,7.800000,-0.009293,0.009293,0.029738,50,50,0.015793
235,7.833333,0.001170,0.001170,0.003745,48,48,0.013187
236,7.866667,-0.003755,0.003755,0.012017,48,48,0.010051
237,7.900000,-0.000508,0.000508,0.001625,47,47,0.014707
238,7.933333,-0.005076,0.005076,0.016242,45,45,0.011467
